Type,Part Number,Brand,Model,Rank,Benchmark,Samples,URL
USB,,,Staples 4GB,459,8.09,70,https://usb.userbenchmark.com/SpeedTest/3939/Staples
USB,,,silicon-power 16GB,460,8.06,22,https://usb.userbenchmark.com/SpeedTest/2253/silicon-power
USB,,SanDisk,Cruzer Fit 4GB,461,8.02,226,https://usb.userbenchmark.com/SpeedTest/10061/SanDisk-Cruzer-Fit
USB,,,SanDisk 4GB,462,7.99,31,https://usb.userbenchmark.com/SpeedTest/6105/SanDisk
USB,,SanDisk,Cruzer Orbit 8GB,463,7.99,219,https://usb.userbenchmark.com/SpeedTest/7295/SanDisk-Cruzer-Orbit
USB,,SanDisk,U3 Titanium 8GB,464,7.94,74,https://usb.userbenchmark.com/SpeedTest/5618/SanDisk-U3-Titanium
USB,,SanDisk,Cruzer Glide 4GB,465,7.94,324,https://usb.userbenchmark.com/SpeedTest/5957/SanDisk-Cruzer-Glide
USB,,SanDisk,Ultra USB 2.0 16GB,466,7.94,539,https://usb.userbenchmark.com/SpeedTest/5437/SanDisk-Ultra
USB,,ST,8GB 8GB,467,7.93,38,https://usb.userbenchmark.com/SpeedTest/4607/ST-8GB
USB,,SanDisk,Cruzer Orbit 16GB,468,7.92,233,https://usb.userbenchmark.com/SpeedTest/10403/SanDisk-Cruzer-Orbit
USB,,Corsair,Flash Voyager 4GB,469,7.89,115,https://usb.userbenchmark.com/SpeedTest/2134/Corsair-Flash-Voyager
USB,,LEXAR,JD 360 2GB,470,7.84,16,https://usb.userbenchmark.com/SpeedTest/11953/LEXAR-JD-360
USB,,SanDisk,Ultra USB 2.0 32GB,471,7.8,405,https://usb.userbenchmark.com/SpeedTest/4329/SanDisk-Ultra
USB,,Corsair,Flash Voyager 8GB,472,7.8,84,https://usb.userbenchmark.com/SpeedTest/1107/Corsair-Flash-Voyager
USB,,Crucial,Gizmo! 4GB,473,7.76,6,https://usb.userbenchmark.com/SpeedTest/1313/Crucial-Gizmo-
USB,,SanDisk,Cruzer Pop 8GB,474,7.75,259,https://usb.userbenchmark.com/SpeedTest/4875/SanDisk-Cruzer-Pop
USB,,TOSHIBA,TransMemory 32GB,475,7.64,2360,https://usb.userbenchmark.com/SpeedTest/4802/TOSHIBA-TransMemory
USB,,SanDisk,Cruzer Orbit 32GB,476,7.38,167,https://usb.userbenchmark.com/SpeedTest/6332/SanDisk-Cruzer-Orbit
USB,,Ut165,USB2FlashStorage 8GB,477,7.35,143,https://usb.userbenchmark.com/SpeedTest/4730/Ut165-USB2FlashStorage
