Type,Part Number,Brand,Model,Rank,Benchmark,Samples,URL
GPU,,AMD,Radeon HD 7650M,356,4.65,344,https://gpu.userbenchmark.com/SpeedTest/10887/AMD-Radeon-HD-7650M
GPU,,AMD,Radeon HD 8610G,357,4.61,3165,https://gpu.userbenchmark.com/SpeedTest/8531/AMD-Radeon-HD-8610G
GPU,,Nvidia,GeForce GT 240,358,4.59,5479,https://gpu.userbenchmark.com/SpeedTest/7947/NVIDIA-GeForce-GT-240
GPU,,AMD,Radeon HD 7560D,359,4.59,4328,https://gpu.userbenchmark.com/SpeedTest/8826/AMD-Radeon-HD-7560D
GPU,,Nvidia,Quadro FX 4600,360,4.58,771,https://gpu.userbenchmark.com/SpeedTest/8232/NVIDIA-Quadro-FX-4600
GPU,,Nvidia,GeForce GT 710,361,4.55,39947,https://gpu.userbenchmark.com/SpeedTest/77649/NVIDIA-GeForce-GT-710
GPU,,Nvidia,NVS 510,362,4.53,894,https://gpu.userbenchmark.com/SpeedTest/10074/NVIDIA-NVS-510
GPU,,Nvidia,GeForce 710M,363,4.52,1242,https://gpu.userbenchmark.com/SpeedTest/10751/NVIDIA-GeForce-710M
GPU,,Intel,HD P4000 (Server 1.25 GHz),364,4.51,280,https://gpu.userbenchmark.com/SpeedTest/8592/IntelR-HD-Graphics-P4000
GPU,,Nvidia,GeForce GT 550M,365,4.51,528,https://gpu.userbenchmark.com/SpeedTest/8663/NVIDIA-GeForce-GT-550M
GPU,,AMD,Radeon HD 6550D,366,4.41,1921,https://gpu.userbenchmark.com/SpeedTest/9223/AMD-Radeon-HD-6550D
GPU,,Nvidia,GeForce GT620M,367,4.38,500,https://gpu.userbenchmark.com/SpeedTest/13398/NVIDIA-GeForce-GT620M
GPU,,Nvidia,GeForce 9800M GTS,368,4.38,234,https://gpu.userbenchmark.com/SpeedTest/12939/NVIDIA-GeForce-9800M-GTS
GPU,,Nvidia,GeForce GT 720M,369,4.35,2555,https://gpu.userbenchmark.com/SpeedTest/7921/NVIDIA-GeForce-GT-720M
GPU,,Intel,HD 4000 (Desktop 1.15 GHz),370,4.27,25320,https://gpu.userbenchmark.com/Intel-HD-4000-Desktop-115-GHz/Rating/2169
GPU,,ATI,Radeon HD 4670,371,4.25,10822,https://gpu.userbenchmark.com/SpeedTest/8077/ATI-Radeon-HD-4600
GPU,,Nvidia,GeForce GT 530,372,4.24,2546,https://gpu.userbenchmark.com/SpeedTest/8407/NVIDIA-GeForce-GT-530
GPU,,Intel, HD 610 (Desktop Kaby Lake),373,4.22,7016,https://gpu.userbenchmark.com/SpeedTest/225196/IntelR-HD-Graphics-610
GPU,,Nvidia,Quadro FX 1800,374,4.2,3428,https://gpu.userbenchmark.com/SpeedTest/7957/NVIDIA-Quadro-FX-1800
GPU,,AMD,Radeon HD 8550G,375,4.19,1603,https://gpu.userbenchmark.com/SpeedTest/7799/AMD-Radeon-HD-8550G
GPU,,Nvidia,GeForce GT 635M,376,4.15,1976,https://gpu.userbenchmark.com/SpeedTest/8120/NVIDIA-GeForce-GT-635M
GPU,,AMD,Radeon HD 7500M,377,4.13,6894,https://gpu.userbenchmark.com/SpeedTest/8602/AMD-Radeon-HD-7500M7600M
GPU,,Nvidia,Quadro 600,378,4.13,7410,https://gpu.userbenchmark.com/SpeedTest/8084/NVIDIA-Quadro-600
GPU,,Nvidia,GeForce GT 230,379,4.11,812,https://gpu.userbenchmark.com/SpeedTest/8245/NVIDIA-GeForce-GT-230
GPU,,Nvidia,GeForce GT 630M,380,4.1,4840,https://gpu.userbenchmark.com/SpeedTest/7814/NVIDIA-GeForce-GT-630M
GPU,,Intel,HD 4400 (Desktop 1.15 GHz),381,4.09,25161,https://gpu.userbenchmark.com/SpeedTest/8064/IntelR-HD-Graphics-4400
GPU,,Nvidia,GeForce GT 430,382,4.09,11910,https://gpu.userbenchmark.com/SpeedTest/7745/NVIDIA-GeForce-GT-430
GPU,,AMD,Radeon HD 6500M,383,4.05,7935,https://gpu.userbenchmark.com/SpeedTest/7936/AMD-Radeon-HD-6500M56005700
GPU,,Nvidia,GeForce GT625M,384,4.04,19,https://gpu.userbenchmark.com/SpeedTest/25295/NVIDIA-GeForce-GT625M
GPU,,Nvidia,Quadro 1000M,385,4.03,3850,https://gpu.userbenchmark.com/SpeedTest/7836/NVIDIA-Quadro-1000M
GPU,,AMD,Radeon HD 7640G,386,3.98,4497,https://gpu.userbenchmark.com/SpeedTest/7903/AMD-Radeon-HD-7640G
GPU,,Intel,HD 510 (Desktop Skylake),387,3.95,6881,https://gpu.userbenchmark.com/SpeedTest/38088/IntelR-HD-Graphics-510
GPU,,AMD,Radeon HD 8510G,388,3.91,1364,https://gpu.userbenchmark.com/SpeedTest/9309/AMD-Radeon-HD-8510G
GPU,,AMD,Radeon HD 5500,389,3.89,2716,https://gpu.userbenchmark.com/SpeedTest/8853/AMD-Radeon-HD-5500
GPU,,AMD,Radeon HD 7610M,390,3.89,235,https://gpu.userbenchmark.com/SpeedTest/11031/AMD-Radeon-HD-7610M
GPU,,Nvidia,GeForce GT 320,391,3.88,989,https://gpu.userbenchmark.com/SpeedTest/11866/NVIDIA-GeForce-GT-320
GPU,,Nvidia,GeForce GT 435M,392,3.88,347,https://gpu.userbenchmark.com/SpeedTest/8260/NVIDIA-GeForce-GT-435M
GPU,,Nvidia,GeForce 9800M-GS,393,3.87,132,https://gpu.userbenchmark.com/SpeedTest/9719/NVIDIA-GeForce-9800M-GS
GPU,,Nvidia,GeForce GTS 250M,394,3.81,145,https://gpu.userbenchmark.com/SpeedTest/8494/NVIDIA-GeForce-GTS-250M
GPU,,Nvidia,NVS 5200M,395,3.8,2739,https://gpu.userbenchmark.com/SpeedTest/7691/NVIDIA-NVS-5200M
GPU,,Intel,HD 4000 (Mobile 1.25 GHz),396,3.8,228670,https://gpu.userbenchmark.com/SpeedTest/7653/IntelR-HD-Graphics-4000
GPU,,Intel,HD 4400 (Mobile 1.0/1.1 GHz),397,3.79,154574,https://gpu.userbenchmark.com/SpeedTest/7668/IntelR-HD-Graphics-Family
GPU,,Nvidia,GeForce GT 540M,398,3.78,6983,https://gpu.userbenchmark.com/SpeedTest/8006/NVIDIA-GeForce-GT-540M
GPU,,ATI,Mobility Radeon HD 4650,399,3.7,3216,https://gpu.userbenchmark.com/SpeedTest/7667/ATI-Mobility-Radeon-HD-4650
GPU,,AMD,Radeon HD 7600G,400,3.66,960,https://gpu.userbenchmark.com/SpeedTest/12867/AMD-Radeon-HD-7600G---7500M7600M-Dual-Graphics
GPU,,Intel,Core M HD 5300,401,3.6,3919,https://gpu.userbenchmark.com/SpeedTest/16575/IntelR-HD-Graphics-5300
GPU,,AMD,Radeon HD 6620G,402,3.54,1943,https://gpu.userbenchmark.com/SpeedTest/8118/AMD-Radeon-HD-6620G
GPU,,Nvidia,Quadro FX 2700M,403,3.53,474,https://gpu.userbenchmark.com/SpeedTest/7747/NVIDIA-Quadro-FX-2700M
GPU,,ATI,Radeon HD 4650,404,3.51,1164,https://gpu.userbenchmark.com/SpeedTest/7844/ATI-Radeon-HD-4650
GPU,,AMD,Radeon HD 8470D,405,3.51,4027,https://gpu.userbenchmark.com/SpeedTest/9693/AMD-Radeon-HD-8470D
GPU,,Nvidia,Quadro FX 3600M,406,3.49,67,https://gpu.userbenchmark.com/SpeedTest/9773/NVIDIA-Quadro-FX-3600M
GPU,,Nvidia,Quadro FX 1800M,407,3.42,713,https://gpu.userbenchmark.com/SpeedTest/7771/NVIDIA-Quadro-FX-1800M
GPU,,AMD,Radeon HD 7540D,408,3.42,1926,https://gpu.userbenchmark.com/SpeedTest/7756/AMD-Radeon-HD-7540D
GPU,,Nvidia,GeForce GT 425M,409,3.4,1399,https://gpu.userbenchmark.com/SpeedTest/7792/NVIDIA-GeForce-GT-425M
GPU,,Nvidia,GeForce GT 335M,410,3.31,554,https://gpu.userbenchmark.com/SpeedTest/10735/NVIDIA-GeForce-GT-335M
GPU,,Nvidia,GeForce GT 130,411,3.18,132,https://gpu.userbenchmark.com/SpeedTest/12240/NVIDIA-GeForce-GT-130
