Type,Part Number,Brand,Model,Rank,Benchmark,Samples,URL
HDD,,Seagate,ST3750640NS 750GB,657,33.4,3516,https://hdd.userbenchmark.com/SpeedTest/4285/ST3750640NS
HDD,,Samsung,HD081GJ 80GB,658,33.4,504,https://hdd.userbenchmark.com/SpeedTest/4836/SAMSUNG-HD081GJ
HDD,,Hitachi,HTS723216L9SA60 160GB,659,33.2,389,https://hdd.userbenchmark.com/SpeedTest/1119/HITACHI-HTS723216L9SA60
HDD,ST320LT020,Seagate,Momentus Thin 5400 2.5" 320GB,660,33.2,3966,https://hdd.userbenchmark.com/SpeedTest/855/ST320LT020-9YG142
HDD,HDP725016GLA380,Hitachi,Deskstar P7K500 160GB,661,33.2,1409,https://hdd.userbenchmark.com/SpeedTest/3051/Hitachi-HDP725016GLA380
HDD,,Hitachi,HDT725050VLA360 500GB,662,33.1,1741,https://hdd.userbenchmark.com/SpeedTest/1926/Hitachi-HDT725050VLA360
HDD,,Toshiba,MK6459GSXP 640GB,663,33.1,893,https://hdd.userbenchmark.com/SpeedTest/2337/TOSHIBA-MK6459GSXP
HDD,,WD,WD3200AAJB-00J3A0 320GB,664,33,854,https://hdd.userbenchmark.com/SpeedTest/2623/WDC-WD3200AAJB-00J3A0
HDD,,Hitachi,HDT725050VLA380 500GB,665,33,659,https://hdd.userbenchmark.com/SpeedTest/2605/Hitachi-HDT725050VLA380
HDD,ST320LT012,Seagate,Momentus Thin 5400.9 2.5" 320GB,666,32.9,2581,https://hdd.userbenchmark.com/SpeedTest/3598/ST320LT012-9WS14C
HDD,,Hitachi,HTS54755 500GB,667,32.9,115,https://hdd.userbenchmark.com/SpeedTest/1555/Hitachi-HTS54755
HDD,WD6400BEVT,WD,Blue 2.5" 640GB (2009),668,32.8,2583,https://hdd.userbenchmark.com/SpeedTest/503/WDC-WD6400BEVT-22A0RT0
HDD,,Maxtor,STM3250820A 250GB,669,32.8,222,https://hdd.userbenchmark.com/SpeedTest/9658/MAXTOR-STM3250820A
HDD,,Samsung,HM250HI 250GB,670,32.8,1878,https://hdd.userbenchmark.com/SpeedTest/2355/SAMSUNG-HM250HI
HDD,,Hitachi,HTS723216L9A360 160GB,671,32.8,353,https://hdd.userbenchmark.com/SpeedTest/5339/Hitachi-HTS723216L9A360
HDD,,WD,WD5000KS-00MNB0 500GB,672,32.8,679,https://hdd.userbenchmark.com/SpeedTest/2813/WDC-WD5000KS-00MNB0
HDD,,Toshiba,MK2576GSX 250GB,673,32.7,404,https://hdd.userbenchmark.com/SpeedTest/1627/TOSHIBA-MK2576GSX
HDD,,Seagate,ST3500830A 500GB,674,32.6,55,https://hdd.userbenchmark.com/SpeedTest/4792/ST3500830A
HDD,,Samsung,HD401LJ 400GB,675,32.5,859,https://hdd.userbenchmark.com/SpeedTest/1229/SAMSUNG-HD401LJ
HDD,,WD,WD1600AAJB-00PVA0 160GB,676,32.4,1001,https://hdd.userbenchmark.com/SpeedTest/4799/WDC-WD1600AAJB-00PVA0
HDD,,Hitachi,HDT725032VLA 320GB,677,32.3,294,https://hdd.userbenchmark.com/SpeedTest/10037/Hitachi-HDT725032VLA
HDD,,Excelstor,Technology J8160S 160GB,678,32.3,594,https://hdd.userbenchmark.com/SpeedTest/11714/ExcelStor-Technology-J8160S
HDD,,Hitachi,HDS721680PLA380 82GB,679,32.3,500,https://hdd.userbenchmark.com/SpeedTest/7255/Hitachi-HDS721680PLA380
HDD,,Hitachi,HTS547550A9E384 500GB,680,32.3,11812,https://hdd.userbenchmark.com/SpeedTest/938/Hitachi-HTS547550A9E384
HDD,,WD,WD2500AAJB-00J3A0 250GB,681,32.3,411,https://hdd.userbenchmark.com/SpeedTest/2580/WDC-WD2500AAJB-00J3A0
HDD,,Maxtor,STM3160811AS 160GB,682,32.2,252,https://hdd.userbenchmark.com/SpeedTest/10214/MAXTOR-STM3160811AS
HDD,,Seagate,ST320LM001 HN-M320MBB 320GB,683,32.2,2072,https://hdd.userbenchmark.com/SpeedTest/5867/ST320LM001-HN-M320MBB
HDD,,Toshiba,MK3259GSXP 320GB,684,32.2,1375,https://hdd.userbenchmark.com/SpeedTest/705/TOSHIBA-MK3259GSXP
HDD,,Samsung,HM320II 320GB,685,32.1,1001,https://hdd.userbenchmark.com/SpeedTest/8571/SAMSUNG-HM320II
