Type,Part Number,Brand,Model,Rank,Benchmark,Samples,URL
SSD,MZVPV256HDGL-00000,Samsung,SM951 NVMe PCIe M.2 256GB,66,185,5307,https://ssd.userbenchmark.com/SpeedTest/30950/NVMe-SAMSUNG-MZVPV256
SSD,5XM46AA#ABC,HP,EX900 NVMe PCIe M.2 1TB,67,183,29,https://ssd.userbenchmark.com/SpeedTest/695989/HP-SSD-EX900-1TB
SSD,2YY44AA#ABC,HP,EX900 NVMe PCIe M.2 500GB,68,183,655,https://ssd.userbenchmark.com/SpeedTest/532017/HP-SSD-EX900-500GB
SSD,PH480GPM280SSDR,Patriot,Hellfire NVMe PCIe M.2 480GB,69,183,412,https://ssd.userbenchmark.com/SpeedTest/184918/Patriot-Hellfire-M2
SSD,MZHPV512HDGL-00000,Samsung,SM951 AHCI PCIe M.2 512GB,70,181,2989,https://ssd.userbenchmark.com/SpeedTest/24647/SAMSUNG-MZHPV512HDGL-00000
SSD,,Intel,Optane+ NVMe PCIe 128GB,71,180,97,https://ssd.userbenchmark.com/SpeedTest/278104/Intel-Optane-119GBSSD
SSD,MZHPV256HDGL-00000,Samsung,SM951 AHCI PCIe M.2 256GB,72,178,4393,https://ssd.userbenchmark.com/SpeedTest/24782/SAMSUNG-MZHPV256HDGL-00000
SSD,MZVLW256HEHP,Samsung,PM961 NVMe PCIe M.2 256GB,73,177,36027,https://ssd.userbenchmark.com/SpeedTest/174249/SAMSUNG-MZVLW256HEHP-00000
SSD,SKC1000/480G,Kingston,KC1000 NVMe PCIe M.2 480GB,74,175,535,https://ssd.userbenchmark.com/SpeedTest/316248/KINGSTON-SKC1000480G
SSD,SSDPEKNW512G8X1,Intel,660p NVMe PCIe M.2 512GB,75,174,4466,https://ssd.userbenchmark.com/SpeedTest/557263/INTEL-SSDPEKNW512G8
SSD,RVD400-M22280-256G,Toshiba,OCZ RD400 NVMe PCIe M.2 256GB,76,174,1723,https://ssd.userbenchmark.com/SpeedTest/142093/NVMe-TOSHIBA-RD400
SSD,PX-256M8PeG,Plextor,M8Pe NVMe PCIe M.2 256GB,77,173,1029,https://ssd.userbenchmark.com/SpeedTest/171701/PLEXTOR-PX-256M8PeG
SSD,MDNVME80-BPX-0512,MyDigitalSSD,BPX NVMe PCIe M.2 480GB,78,173,935,https://ssd.userbenchmark.com/SpeedTest/206552/BPX
SSD,CSSD-F240GBMP510,Corsair,Force NVMe PCIe M.2 240GB,79,172,625,https://ssd.userbenchmark.com/SpeedTest/612603/Force-MP510
SSD,WDS250G1B0C,WD,Blue SN500 NVMe PCIe M.2 250GB,80,171,25,https://ssd.userbenchmark.com/SpeedTest/756076/WDC-WDS250G1B0C-00S6U0
SSD,MZVLW128,Samsung,PM961 NVMe PCIe M.2 128GB,81,171,4766,https://ssd.userbenchmark.com/SpeedTest/194898/NVMe-SAMSUNG-MZVLW128
SSD,MZVPV128HDGM-00000,Samsung,SM951 NVMe PCIe M.2 128GB,82,168,1277,https://ssd.userbenchmark.com/SpeedTest/34737/NVMe-SAMSUNG-MZVPV128
SSD,KXG50ZNV1T02,Toshiba,XG5 NVMe PCIe M.2 1TB,83,167,2989,https://ssd.userbenchmark.com/SpeedTest/359586/KXG50ZNV1T02-NVMe-TOSHIBA-1024GB
SSD,RVD350-FHPX28-960G,OCZ,RevoDrive 350 PCIe 960GB,84,164,110,https://ssd.userbenchmark.com/SpeedTest/15245/OCZ-REVODRIVE350
SSD,CSSD-F480GBMP500,Corsair,Force MP500 NVMe PCIe M.2 480GB,85,164,1383,https://ssd.userbenchmark.com/SpeedTest/223982/Force-MP500
SSD,MDNVME80-BPX-0256,MyDigitalSSD,BPX NVMe PCIe M.2 240GB,86,161,682,https://ssd.userbenchmark.com/SpeedTest/211350/BPX
SSD,MKNSSDPL120GB-D8,Mushkin,Pilot NVMe PCIe M.2 120GB,87,161,33,https://ssd.userbenchmark.com/SpeedTest/533910/MKNSSDPL120GB-D8
SSD,,Toshiba,THNSN5512GPU7 NVMe PCIe M.2 512GB,88,161,6297,https://ssd.userbenchmark.com/SpeedTest/120558/NVMe-THNSN5512GPU7-NV
SSD,MZHPV128HDGM-00000,Samsung,SM951 AHCI PCIe M.2 128GB,89,159,1263,https://ssd.userbenchmark.com/SpeedTest/26719/SAMSUNG-MZHPV128HDGM-00000
SSD,MDNVME80-BPX-0128,MyDigitalSSD,BPX NVMe PCIe M.2 120GB,90,158,592,https://ssd.userbenchmark.com/SpeedTest/217777/BPX
SSD,,Apple,SM0512G PCIe 500GB,91,156,831,https://ssd.userbenchmark.com/SpeedTest/25611/APPLE-SSD-SM0512G
SSD,CSSD-F240GBMP500,Corsair,Force MP500 NVMe PCIe M.2 240GB,92,155,5606,https://ssd.userbenchmark.com/SpeedTest/213562/Force-MP500
SSD,ASX8000NP-512GM-C,Adata,XPG SX8000 NVMe PCIe M.2 512GB,93,154,606,https://ssd.userbenchmark.com/SpeedTest/218488/NVMe-ADATA-SX8000NP
SSD,,Toshiba,THNSN5128GPU7 NVMe PCIe M.2 128GB,94,153,545,https://ssd.userbenchmark.com/SpeedTest/38688/NVMe-THNSN5128GPU7-TO
SSD,SKC1000/240G,Kingston,KC1000 NVMe PCIe M.2 240GB,95,152,762,https://ssd.userbenchmark.com/SpeedTest/312458/KINGSTON-SKC1000240G
SSD,RVD350-FHPX28-480G,OCZ,RevoDrive 350 PCIe 480GB,96,151,376,https://ssd.userbenchmark.com/SpeedTest/13514/OCZ-REVODRIVE350
SSD,,Toshiba,THNSN5256GPU7 NVMe PCIe M.2 256GB,97,150,6682,https://ssd.userbenchmark.com/SpeedTest/36660/NVMe-THNSN5256GPU7-TO
SSD,,Samsung,PM951 NVMe PCIe M.2 512GB 1TB,98,150,1119,https://ssd.userbenchmark.com/SpeedTest/39907/NVMe-PM951-NVMe-SAMSU
SSD,,Apple,SM0256G PCIe 251GB,99,150,707,https://ssd.userbenchmark.com/SpeedTest/25442/APPLE-SSD-SM0256G
SSD,2YY43AA#ABC,HP,EX900 NVMe PCIe M.2 250GB,100,148,1037,https://ssd.userbenchmark.com/SpeedTest/455743/HP-SSD-EX900-250GB
SSD,SHPM2280P2/480G,Kingston,HyperX Predator AHCI PCIe M.2 480GB,101,147,928,https://ssd.userbenchmark.com/SpeedTest/27251/Kingston-SHPM2280P2480G
SSD,PH240GPM280SSDR,Patriot,Hellfire NVMe PCIe M.2 240GB,102,146,1002,https://ssd.userbenchmark.com/SpeedTest/179778/Patriot-Hellfire-M2
SSD,SSDPEDME400G401,Intel,DC P3600 Series NVMe PCIe 400GB,103,145,31,https://ssd.userbenchmark.com/SpeedTest/22744/NVMe-INTEL-SSDPEDME40
